TransactionID,Date,ItemID,Category,Color,ColorCode,Size,DealPrice,Description,CustomerID,Gender,Age,CCType,CCNum,CCName,CCExpireDate,CVV
202111022094357 ,11-02-2021,TR013,Trouser,Blue,#4a86e8,XL,30,Previously sold trousers.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,TR014,Trouser,Blue,#4a86e8,XL,30,Previously sold trousers.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,TR015,Trouser,Blue,#4a86e8,XL,30,Previously sold trousers.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,TR016,Trouser,Blue,#4a86e8,XL,30,Previously sold trousers.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,JA011,Jacket,Red,#ff0000,M,80,Previously sold jacket.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,JA012,Jacket,Red,#ff0000,M,80,Previously sold jacket.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,JA013,Jacket,Red,#ff0000,M,80,Previously sold jacket.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,JA014,Jacket,Red,#ff0000,M,80,Previously sold jacket.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,JA015,Jacket,Red,#ff0000,L,85,Previously sold jacket.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,JA016,Jacket,White,#ffffff,S,50,Previously sold jacket.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
20211112140302 ,11-12-2021,JA017,Jacket,White,#ffffff,S,50,Previously sold jacket.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210208193030 ,02-08-2021,JA018,Jacket,Black,#000000,M,80,Previously sold jacket.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210208193030 ,02-08-2021,JA019,Jacket,Black,#000000,M,80,Previously sold jacket.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210208193030 ,02-08-2021,JA020,Jacket,Black,#000000,L,85,Previously sold jacket.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210208193030 ,02-08-2021,JA021,Jacket,Black,#000000,M,80,Previously sold jacket.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210208193030 ,02-08-2021,JA022,Jacket,White,#ffffff,XXL,100,Previously sold jacket.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210706121212 ,07-06-2021,SH021,Shirt,White,#ffffff,XXL,20.5,Previously sold shirt.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210706121212 ,07-06-2021,SH022,Shirt,Red,#ff0000,XXL,20.5,Previously sold shirt.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210706121212 ,07-06-2021,SH023,Shirt,Red,#ff0000,XXL,20.5,Previously sold shirt.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210706121212 ,07-06-2021,SH024,Shirt,Red,#ff0000,XXL,20.5,Previously sold shirt.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210706121212 ,07-06-2021,SH025,Shirt,Red,#ff0000,XXL,20.5,Previously sold shirt.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210706121212 ,07-06-2021,TR017,Trouser,White,#ffffff,S,25,Previously sold trousers.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210606060606 ,06-06-2021,TR018,Trouser,White,#ffffff,S,25,Previously sold trousers.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210606060606 ,06-06-2021,TR019,Trouser,White,#ffffff,S,25,Previously sold trousers.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210606060606 ,06-06-2021,TR020,Trouser,White,#ffffff,S,25,Previously sold trousers.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
20210606060606 ,06-06-2021,TR021,Trouser,Blue,#4a86e8,M,27,Previously sold trousers.,2021003,Male,30,Visa,4524827829560620 ,Harry Kane,12/25,543
